int/id/剧情id	string/chapter/章节名字	int/type/剧情类型	string/dialog/对话	string[]/choiceGoTo/选择转到	string/variable/变量名	string/expression/表达式	int/switchGoTo/判断转到	string/comment/备注
64		0	我流落外太空，孤苦伶仃——说句心里话，我整个人都不好了！					
65		1	一切都会好的，冷静点。|别耍小孩子脾气。	calmdown|dontbeababy				
66	dontbeababy	0	“别耍小孩子脾气”？					
67		0	哦，看来对你来说被困在荒凉星球上这种事倒是天天发生啊？					
68		0	有没有人跟你说过，接听危机热线这活儿你可不怎么在行？					
69		0	没跟你搭上话时，我感觉都要好点儿。					
70		0	算了……我要去歇口气，评估一下状况。					
71		0	等我想聊了，再联系你。					
72		1		readytotalk				
73	readytotalk	0	好吧，听着。我实在不想承认你哪怕有那么一点点对。					
74		0	我可不想在这里唉声叹气，坐以待毙。我得采取行动了。					
75		0	只是，请你……别忘了我真的吓得要屁滚尿流了，好吧？					
76		0	我真的很庆幸能联系上你，真的，就是………请对我多包涵点，行吗？					
77		1	刚才真不好意思。|你脸皮厚点就行了。	sorryaboutearlier|thickerskin				
78	thickerskin	0	魂淡啊，你简直就是虎妈狼爸。					
79		0	听着，我会将这个频道一直开着……					
80		0	……不过这只是因为有你挂在线那头，总好过我对着空气自言自语。					
81		0	不管你能帮什么忙都行。					
82		1	你知道你在哪吗？|你没缺胳膊少腿吧？	whereareyou|areyouallright				
83	whereareyou	0	对你这个问题，我唯一确定的答案是：“我被困了。”					
84		0	要是你知道蛮荒在哪里的话，就朝那中间最荒的地方瞧，你就能找到我了。					
85		2			toldname	==0	87	
86		0	顺便说一句，我叫泰勒。我该一上来就自我介绍一下的。					
87		0	瓦里亚号本来沿着轻缓的椭圆形轨道前往天仓四去。					
88		0	我不知道我们是不是偏离了轨道，或者说偏离了多少。					
89		0	出事时，我离舰桥还远着呢。					
90		0	科尔比，她……她一把将我推进了一个救生舱，然后转身跑去帮其他人去了。她就是这么个人。					
91		0	不知道是震的，还是吓的，我在救生舱里晕了过去……我不知道有多久……					
92		0	等我醒过来，我就在这儿了。					
93		1	描述一下你说的“这儿”。|想谈谈科尔比吗？	describehere|talkColby				
94								
95								
96								
97								
98								
99								
100								
101								
102								
103								
